,reviews
9459,"I recently broke my phone so my friend, that had a spare one, gave me her iPhone 4S in black as an early Xmas gift! How amazing is she? This phone definitely maked my life a lot easier than ever. It's clean, simple and exclusive, just how I like it."
9460,"I actually have the Rose Gold, which I absolutely love! I have had previous versions of the iPhone and find the battery life in this one to last much longer. If you love Apple, I'd definitely recommend this! "
9461,Iphones are the easiest phones to use. i love the quality of the pictures. but if you take a lot of pics then you would need more then 16gb
9462,Don't do it. Slow as heck. Can't do anything. Horrible camera quality. Just bad.  
9463,Love love love all the iPhone's I have owned. never let me down one bit in the past 6 years. #teamiphone 💕📱
9464,I had this phone for 3 years and I loved it but it broke in the bathroom.  It was simple for me 
9465,So glad Apple came out with a bigger iPhone. I have big hands and the other versions were too small when typing. I had a lot of typos and had to keep correcting every word. But this bigger design is awesome.
9466,Absolutely love it!! I never receive any spyware or have to worry about Apple giving my information over to anyone! Very trusted company very trusted product
9467,It's ans okay phone it freezes sometimes and I really want the iPhone 6 so once I get an upgrade that's what I'm switching to 
9468,"The first 3 months, I thought this was the best purchase I've ever done. I really loved it. When the time passed, and I've got excited with all the new applications, i started disappointing with it.
I've bought the iPhone that comes with 8GB (the cheapest one), and that was my problem. They shouldn't even sell celphones with such a low saving capacity. I have to delete photos everiday, and if I want to download a new app, I have to delete another one.
It also became slower and slower every time I update its sistem (which should make your smartphone better, not worse)."
9469,I love iPhones they are easy to use there are so many apps available. Although it is slow especially with the newer phones that have come out and newer updates.
9470,I definitely enjoyed this phone to the fullest and would have loved to stay with apple phones until I shattered mine and couldn't afford a new one. 
9471,My 4S is so out of date now I can't fully update a lot of the apps I use on the regular.  Time to switch to a 5. :(
9472,I had an iPhone 4S for 2 years. It was my first iPhone. I have since upgraded to an iPhone6 and gave the 4S to my 8 year old daughter. She uses it now for her games & wifi and loves it! Longest lasting phone I've ever had! 
9473,I would not recommend the i phone 4 because it is old and I am sure you would rather have one of the updated I phones.
9474,Omg omg omg you should really get this I have this one and it is so amazing yeahhhhhhhhhh
9475,I love everything about this phone except the poor camera quality. I liked the pictures just fine until I had the upgrade. Then it got stolen and I had to go back to this one and the photo quality made me sad.
9476,I no longer owned a iphone 4 but I gave it alway to my mother shes not so much into new phones so it was perfect for her she said it was easy to navigate 😉
9477,"I love this phone.  I did not have a smart phone before, and I am amazed how much of a difference it makes to my life.  "
9478,"You can't go wrong with apple iphones. sleak phones, only downfall for me is the apple store. "
9479,This was the old phone I had and I loved it! It kept up with me and my daily tasks and it never had any issues. I wish the screen was a bit bigger but I guess that's why the upgraded phones have bigger screens :)
